,mse,rmse,mae,r2
Linear Regression,2.3506943951509626e+22,153319744167.24554,3386717256.3610773,-2.120457762505928e+23
CART Regressor,0.06821852542549385,0.26118676349595865,0.12176719574980929,0.384630762367106
