Model,Accuracy,Precision,Recall,F1-Score,Kappa,Sensitivity,Specificity,AUC,Total Support Vectors
SVM Linear,0.7535486160397445,0.9164472931212087,0.6239382841112756,0.7424200278164117,0.5219846955220488,0.6239382841112756,0.924827515188961,0.7967802011443263,951
SVM RBF,0.7717796309439319,0.9622414622414622,0.623548663601652,0.7567260863397797,0.5595547431008647,0.623548663601652,0.9676655339305942,0.8898600514103279,943
SVM Polynomial (deg 3),0.7503548616039745,0.9654994185295258,0.5822488895815475,0.7264242659926113,0.5214801095580572,0.5822488895815475,0.972505406240346,0.8593211577385474,1255
