Model,Accuracy,Precision,Recall,F1-Score,Kappa,Sensitivity,Specificity,AUC
Decision Stump,0.7998580553584103,0.9521791109661993,0.6826930569625185,0.7952255604974131,0.6096481244667937,0.6826930569625185,0.9546905571001957,0.8186918070313571
AdaBoost,0.7441891412349184,0.9179086822805772,0.6046910309358685,0.7290834781791704,0.5054985101502711,0.6046910309358685,0.9285346514262177,0.9342109740935621
XGBoost,0.7881919801277502,0.9682705718270572,0.6491856931348866,0.7772542799832066,0.5898286891329164,0.6491856931348866,0.9718875502008032,0.9550112006167036
Bagging,0.808152945351313,0.9633986928104575,0.6891607574222707,0.8035251896606551,0.6259203897351022,0.6891607574222707,0.965400061785604,0.8987044650638792
Subagging,0.8233232789212207,0.9611296373488953,0.7186939920517416,0.8224174060368273,0.6537756232503269,0.7186939920517416,0.9615899495417568,0.899186140490327
Random Forest,0.758694109297374,0.9671426766081133,0.5963531520299229,0.7377807770172563,0.5365152002983975,0.5963531520299229,0.9732262382864793,0.961037415420834
Voting (Hard),0.7600691980127751,0.9672708962739174,0.5987687991895894,0.7396640515955143,0.538987760670095,0.5987687991895894,0.9732262382864793,0.0
Voting (Soft),0.7852200141944642,0.9683507209002462,0.6437310060001559,0.773357049241715,0.5844342804906337,0.6437310060001559,0.9721964782205746,0.9594847510091435
Stacking,0.7853974449964514,0.9681461529453097,0.6441985506117042,0.773629047351675,0.5847380966662221,0.6441985506117042,0.9719905262073937,0.9629401204190975
