Model,Accuracy,Precision,Recall,F1-Score,Kappa,Sensitivity,Specificity,AUC
Logistic Regression,0.7549680624556423,0.9176094160667352,0.6257305384555443,0.744069681245367,0.5246585540103913,0.6257305384555443,0.9257542992482751,0.8353562666107789
DT Gini,0.7914744499645139,0.9590200948295327,0.6619652458505416,0.7832741690101885,0.5949614327364515,0.6619652458505416,0.9626197096076614,0.7350393527948758
DT CART Classifier,0.7975958126330731,0.9682899207248018,0.6662510714564015,0.7893643539675945,0.6069828285861751,0.6662510714564015,0.9711667181546699,0.8361354955935569
