,ari,nmi,silhouette,n_clusters,n_noise
MST Clustering,0.0039815248859258225,0.008884296418726808,0.06226743644686494,5,0
EM / GMM,0.3471605682736996,0.3590935944865988,0.3104361495819119,5,0
DBSCAN,0.5671070793764743,0.5928379428555065,0.46839773854022504,38,401
