Model,CV Mean Accuracy,CV Std
Decision Stump,0.9206799999999999,0.002696961252966007
AdaBoost,0.9907999999999999,0.0022018174311236754
XGBoost,0.99748,0.0002712931993250267
Bagging,0.9972799999999999,0.000348711915483269
Subagging,0.9972,0.0005059644256269288
Random Forest,0.9975600000000002,0.0007199999999999737
Voting (Hard),0.99756,0.0005571355310873545
Voting (Soft),0.9976800000000001,0.0004118252056394756
Stacking,0.9978,0.0003346640106136199
